ts	variant	run	pass_count	total	react	promises	rational	run_dir
2026-02-12 16:51:49	base	1	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-15-49-15--qwen3-coder-next-bf16-mlx-2026-02-12-16-49-15
2026-02-12 16:54:22	base	2	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-15-51-50--qwen3-coder-next-bf16-mlx-2026-02-12-16-51-50
2026-02-12 16:56:54	base	3	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-15-54-22--qwen3-coder-next-bf16-mlx-2026-02-12-16-54-22
2026-02-12 16:59:26	base	4	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-15-56-54--qwen3-coder-next-bf16-mlx-2026-02-12-16-56-54
2026-02-12 17:01:11	snippet	1	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-15-59-26--qwen3-coder-next-bf16-mlx-2026-02-12-16-59-26
2026-02-12 17:02:56	snippet	2	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-16-01-11--qwen3-coder-next-bf16-mlx-2026-02-12-17-01-11
2026-02-12 17:04:42	snippet	3	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-16-02-57--qwen3-coder-next-bf16-mlx-2026-02-12-17-02-56
2026-02-12 17:06:27	snippet	4	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-16-04-42--qwen3-coder-next-bf16-mlx-2026-02-12-17-04-42
2026-02-12 17:09:06	compact	1	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-06-27--qwen3-coder-next-bf16-mlx-2026-02-12-17-06-27
2026-02-12 17:11:44	compact	2	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-09-06--qwen3-coder-next-bf16-mlx-2026-02-12-17-09-06
2026-02-12 17:14:23	compact	3	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-11-45--qwen3-coder-next-bf16-mlx-2026-02-12-17-11-45
2026-02-12 17:17:02	compact	4	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-14-24--qwen3-coder-next-bf16-mlx-2026-02-12-17-14-23
2026-02-12 17:18:56	nospec	1	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-16-17-02--qwen3-coder-next-bf16-mlx-2026-02-12-17-17-02
2026-02-12 17:20:49	nospec	2	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-16-18-56--qwen3-coder-next-bf16-mlx-2026-02-12-17-18-56
2026-02-12 17:22:44	nospec	3	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-16-20-49--qwen3-coder-next-bf16-mlx-2026-02-12-17-20-49
2026-02-12 17:24:38	nospec	4	0	3	0	0	0	benchmark/tmp.benchmark/2026-02-12-16-22-44--qwen3-coder-next-bf16-mlx-2026-02-12-17-22-44
2026-02-12 17:27:11	contract	1	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-24-38--qwen3-coder-next-bf16-mlx-2026-02-12-17-24-38
2026-02-12 17:29:46	contract	2	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-27-12--qwen3-coder-next-bf16-mlx-2026-02-12-17-27-11
2026-02-12 17:32:21	contract	3	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-29-46--qwen3-coder-next-bf16-mlx-2026-02-12-17-29-46
2026-02-12 17:34:55	contract	4	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-32-22--qwen3-coder-next-bf16-mlx-2026-02-12-17-32-21
2026-02-12 17:37:12	noenforce	1	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-34-55--qwen3-coder-next-bf16-mlx-2026-02-12-17-34-55
2026-02-12 17:39:30	noenforce	2	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-37-13--qwen3-coder-next-bf16-mlx-2026-02-12-17-37-12
2026-02-12 17:41:47	noenforce	3	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-39-30--qwen3-coder-next-bf16-mlx-2026-02-12-17-39-30
2026-02-12 17:44:05	noenforce	4	1	3	1	0	0	benchmark/tmp.benchmark/2026-02-12-16-41-48--qwen3-coder-next-bf16-mlx-2026-02-12-17-41-47
